idx,t_us,evt,core,prio,task_id,aux,evt_name
279,49782969,3,0,1,5,0,TICK
280,49782977,2,0,1,5,0,SW_OUT
281,49782986,1,0,1,4,0,SW_IN
282,49783971,3,0,1,4,0,TICK
283,49783978,2,0,1,4,0,SW_OUT
284,49783987,1,0,1,5,0,SW_IN
285,49784969,3,0,1,5,0,TICK
286,49784977,2,0,1,5,0,SW_OUT
287,49784986,1,0,1,4,0,SW_IN
288,49785074,2,0,1,4,0,SW_OUT
289,49785082,1,0,1,5,0,SW_IN
290,49785452,2,0,1,5,0,SW_OUT
291,49785460,1,0,0,0,0,SW_IN
292,49785970,3,0,0,0,0,TICK
293,49786970,3,0,0,0,0,TICK
294,49787970,3,0,0,0,0,TICK
295,49788970,3,0,0,0,0,TICK
296,49789970,3,0,0,0,0,TICK
297,49790972,3,0,0,0,0,TICK
298,49790980,2,0,0,0,0,SW_OUT
299,49790989,1,0,1,0,0,SW_IN
300,49791198,2,0,1,0,0,SW_OUT
301,49791207,1,0,0,0,0,SW_IN
302,49791972,3,0,0,0,0,TICK
303,49791980,2,0,0,0,0,SW_OUT
304,49791989,1,0,1,1,0,SW_IN
305,49792969,3,0,1,1,0,TICK
306,49793972,3,0,1,1,0,TICK
307,49793979,2,0,1,1,0,SW_OUT
308,49793987,1,0,1,2,0,SW_IN
309,49794969,3,0,1,2,0,TICK
310,49794977,2,0,1,2,0,SW_OUT
311,49794985,1,0,1,1,0,SW_IN
312,49795969,3,0,1,1,0,TICK
313,49795977,2,0,1,1,0,SW_OUT
314,49795984,1,0,1,2,0,SW_IN
315,49796972,3,0,1,2,0,TICK
316,49796979,2,0,1,2,0,SW_OUT
317,49796987,1,0,1,1,0,SW_IN
318,49797969,3,0,1,1,0,TICK
319,49797977,2,0,1,1,0,SW_OUT
320,49797984,1,0,1,3,0,SW_IN
321,49798969,3,0,1,3,0,TICK
322,49798977,2,0,1,3,0,SW_OUT
323,49798985,1,0,1,2,0,SW_IN
324,49799969,3,0,1,2,0,TICK
325,49799977,2,0,1,2,0,SW_OUT
326,49799985,1,0,1,1,0,SW_IN
327,49800972,3,0,1,1,0,TICK
328,49800979,2,0,1,1,0,SW_OUT
329,49800987,1,0,1,3,0,SW_IN
330,49801969,3,0,1,3,0,TICK
331,49801977,2,0,1,3,0,SW_OUT
332,49801985,1,0,1,2,0,SW_IN
333,49802969,3,0,1,2,0,TICK
334,49802977,2,0,1,2,0,SW_OUT
335,49802985,1,0,1,4,0,SW_IN
336,49803969,3,0,1,4,0,TICK
337,49803977,2,0,1,4,0,SW_OUT
338,49803986,1,0,1,1,0,SW_IN
339,49804969,3,0,1,1,0,TICK
340,49804977,2,0,1,1,0,SW_OUT
341,49804984,1,0,1,3,0,SW_IN
342,49805972,3,0,1,3,0,TICK
343,49805979,2,0,1,3,0,SW_OUT
344,49805987,1,0,1,2,0,SW_IN
345,49806969,3,0,1,2,0,TICK
346,49806977,2,0,1,2,0,SW_OUT
347,49806985,1,0,1,4,0,SW_IN
348,49807969,3,0,1,4,0,TICK
349,49807977,2,0,1,4,0,SW_OUT
350,49807986,1,0,1,1,0,SW_IN
351,49808969,3,0,1,1,0,TICK
352,49808977,2,0,1,1,0,SW_OUT
353,49808984,1,0,1,5,0,SW_IN
354,49809969,3,0,1,5,0,TICK
355,49809978,2,0,1,5,0,SW_OUT
356,49809986,1,0,1,3,0,SW_IN
357,49810969,3,0,1,3,0,TICK
