idx;t_us;evt;core;prio;task_id;aux
285;508004;2;0;0;0;0
286;508012;1;0;1;0;0
287;508032;2;0;1;0;0
288;508040;1;0;0;0;0
289;508994;3;0;0;0;0
290;509994;3;0;0;0;0
291;510994;3;0;0;0;0
292;511994;3;0;0;0;0
293;512994;3;0;0;0;0
294;513994;3;0;0;0;0
295;514994;3;0;0;0;0
296;515994;3;0;0;0;0
297;516994;3;0;0;0;0
298;517994;3;0;0;0;0
299;518994;3;0;0;0;0
300;519994;3;0;0;0;0
301;520994;3;0;0;0;0
302;521994;3;0;0;0;0
303;522994;3;0;0;0;0
304;523994;3;0;0;0;0
305;524994;3;0;0;0;0
306;525994;3;0;0;0;0
307;526994;3;0;0;0;0
308;527996;3;0;0;0;0
309;528004;2;0;0;0;0
310;528012;1;0;1;0;0
311;528032;2;0;1;0;0
312;528040;1;0;0;0;0
313;528994;3;0;0;0;0
314;529994;3;0;0;0;0
315;530994;3;0;0;0;0
316;531994;3;0;0;0;0
317;532994;3;0;0;0;0
318;533994;3;0;0;0;0
319;534994;3;0;0;0;0
320;535994;3;0;0;0;0
321;536994;3;0;0;0;0
322;537996;3;0;0;0;0
323;538004;2;0;0;0;0
324;538012;1;0;1;1;0
325;538994;3;0;1;1;0
326;539994;3;0;1;1;0
327;540994;3;0;1;1;0
328;541994;3;0;1;1;0
329;542994;3;0;1;1;0
330;543994;3;0;1;1;0
331;544994;3;0;1;1;0
332;545994;3;0;1;1;0
333;546994;3;0;1;1;0
334;547996;3;0;1;1;0
335;548994;3;0;1;1;0
336;549994;3;0;1;1;0
337;550994;3;0;1;1;0
338;551994;3;0;1;1;0
339;552994;3;0;1;1;0
340;553994;3;0;1;1;0
341;554994;3;0;1;1;0
342;555994;3;0;1;1;0
343;556994;3;0;1;1;0
344;557994;3;0;1;1;0
345;558994;3;0;1;1;0
346;559994;3;0;1;1;0
347;560994;3;0;1;1;0
348;561994;3;0;1;1;0
349;562994;3;0;1;1;0
350;563994;3;0;1;1;0
351;564994;3;0;1;1;0
352;565994;3;0;1;1;0
353;566994;3;0;1;1;0
354;567994;3;0;1;1;0
355;568631;2;0;1;1;0
356;568639;1;0;1;0;0
357;568658;2;0;1;0;0
358;568667;1;0;0;0;0
359;568996;3;0;0;0;0
360;569004;2;0;0;0;0
361;569012;1;0;2;2;0
362;569994;3;0;2;2;0
363;570994;3;0;2;2;0
364;571994;3;0;2;2;0
365;572994;3;0;2;2;0
366;573994;3;0;2;2;0
367;574994;3;0;2;2;0
368;575994;3;0;2;2;0
369;576994;3;0;2;2;0
370;577994;3;0;2;2;0
371;578994;3;0;2;2;0
372;579994;3;0;2;2;0
373;580994;3;0;2;2;0
374;581994;3;0;2;2;0
375;582994;3;0;2;2;0
376;583994;3;0;2;2;0
377;584994;3;0;2;2;0
378;585994;3;0;2;2;0
379;586994;3;0;2;2;0
380;587996;3;0;2;2;0
381;588994;3;0;2;2;0
382;589994;3;0;2;2;0
383;590994;3;0;2;2;0
384;591994;3;0;2;2;0
385;592994;3;0;2;2;0
386;593994;3;0;2;2;0
387;594994;3;0;2;2;0
388;595994;3;0;2;2;0
389;596994;3;0;2;2;0
390;597994;3;0;2;2;0
391;598994;3;0;2;2;0
392;599994;3;0;2;2;0
393;600994;3;0;2;2;0
394;601994;3;0;2;2;0
395;602994;3;0;2;2;0
396;603994;3;0;2;2;0
397;604994;3;0;2;2;0
398;605994;3;0;2;2;0
399;606994;3;0;2;2;0
400;607994;3;0;2;2;0
401;608994;3;0;2;2;0
402;609994;3;0;2;2;0
403;610994;3;0;2;2;0
404;611994;3;0;2;2;0
405;612994;3;0;2;2;0
406;613994;3;0;2;2;0
407;614994;3;0;2;2;0
408;615994;3;0;2;2;0
409;616994;3;0;2;2;0
410;617994;3;0;2;2;0
411;618994;3;0;2;2;0
412;619994;3;0;2;2;0
413;620994;3;0;2;2;0
414;621994;3;0;2;2;0
415;622994;3;0;2;2;0
416;623994;3;0;2;2;0
417;624994;3;0;2;2;0
418;625994;3;0;2;2;0
419;626994;3;0;2;2;0
420;627994;3;0;2;2;0
421;628994;3;0;2;2;0
422;629994;3;0;2;2;0
423;630994;3;0;2;2;0
424;631994;3;0;2;2;0
425;632994;3;0;2;2;0
426;633994;3;0;2;2;0
427;634994;3;0;2;2;0
428;635994;3;0;2;2;0
429;636994;3;0;2;2;0
430;637996;3;0;2;2;0
431;638994;3;0;2;2;0
432;639994;3;0;2;2;0
433;640994;3;0;2;2;0
434;641994;3;0;2;2;0
435;642994;3;0;2;2;0
436;643994;3;0;2;2;0
437;644994;3;0;2;2;0
438;645377;2;0;2;2;0
439;645384;1;0;1;0;0
440;645404;2;0;1;0;0
441;645412;1;0;1;1;0
442;645994;3;0;1;1;0
443;646994;3;0;1;1;0
444;647994;3;0;1;1;0
445;648994;3;0;1;1;0
446;649994;3;0;1;1;0
447;650994;3;0;1;1;0
448;651994;3;0;1;1;0
449;652994;3;0;1;1;0
450;653994;3;0;1;1;0
451;654994;3;0;1;1;0
452;655994;3;0;1;1;0
453;656994;3;0;1;1;0
454;657994;3;0;1;1;0
455;658994;3;0;1;1;0
456;659994;3;0;1;1;0
457;660994;3;0;1;1;0
458;661994;3;0;1;1;0
459;662994;3;0;1;1;0
460;663994;3;0;1;1;0
461;664996;3;0;1;1;0
462;665994;3;0;1;1;0
463;666994;3;0;1;1;0
464;667994;3;0;1;1;0
465;668994;3;0;1;1;0
466;669994;3;0;1;1;0
467;670994;3;0;1;1;0
468;671994;3;0;1;1;0
469;672994;3;0;1;1;0
470;673994;3;0;1;1;0
471;674994;3;0;1;1;0
472;675997;3;0;1;1;0
473;676050;2;0;1;1;0
474;676057;1;0;1;0;0
475;676076;2;0;1;0;0
476;676084;1;0;1;3;0
477;676994;3;0;1;3;0
478;677994;3;0;1;3;0
479;678994;3;0;1;3;0
480;679994;3;0;1;3;0
481;680994;3;0;1;3;0
482;681994;3;0;1;3;0
483;682994;3;0;1;3;0
484;683994;3;0;1;3;0
485;684994;3;0;1;3;0
486;685994;3;0;1;3;0
487;686994;3;0;1;3;0
488;687994;3;0;1;3;0
489;688994;3;0;1;3;0
490;689994;3;0;1;3;0
491;690994;3;0;1;3;0
492;691994;3;0;1;3;0
493;692994;3;0;1;3;0
494;693994;3;0;1;3;0
495;694994;3;0;1;3;0
496;695996;3;0;1;3;0
497;696994;3;0;1;3;0
498;697994;3;0;1;3;0
499;698994;3;0;1;3;0
500;699994;3;0;1;3;0
501;700994;3;0;1;3;0
502;701994;3;0;1;3;0
503;702994;3;0;1;3;0
504;703994;3;0;1;3;0
505;704994;3;0;1;3;0
506;705994;3;0;1;3;0
507;706717;2;0;1;3;0
508;706725;1;0;1;0;0
509;706744;2;0;1;0;0
510;706753;1;0;0;0;0
511;706996;3;0;0;0;0
512;707004;2;0;0;0;0
513;707012;1;0;1;4;0
514;707994;3;0;1;4;0
515;708994;3;0;1;4;0
516;709994;3;0;1;4;0
517;710994;3;0;1;4;0
518;711994;3;0;1;4;0
519;712994;3;0;1;4;0
520;713994;3;0;1;4;0
521;714994;3;0;1;4;0
522;715994;3;0;1;4;0
523;716994;3;0;1;4;0
524;717994;3;0;1;4;0
525;718994;3;0;1;4;0
526;719994;3;0;1;4;0
527;720994;3;0;1;4;0
528;721994;3;0;1;4;0
